sppid,species,scinam,dataname,Rank,Occurrences,nSites,UseAvailability.North,Analysis.North,UseAvailability.South,Analysis.South,Maps,Origin
PopulusBalsamifera,Populus balsamifera,Populus balsamifera,Populus.balsamifera,Species,1710,595,TRUE,TRUE,TRUE,TRUE,TRUE,Native
PopulusDeltoides,Populus deltoides,Populus deltoides,Populus.deltoides,Species,9,5,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PopulusNigra,Populus nigra,Populus nigra,Populus.nigra,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
PopulusTremuloides,Populus tremuloides,Populus tremuloides,Populus.tremuloides,Species,2661,844,TRUE,TRUE,TRUE,TRUE,TRUE,Native
PortulacaOleracea,Portulaca oleracea,Portulaca oleracea,Portulaca.oleracea,Species,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
Potamogeton,Potamogeton,Potamogeton,Potamogeton,Genus,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,NA
PotamogetonAlpinus,Potamogeton alpinus,Potamogeton alpinus,Potamogeton.alpinus,Species,6,3,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PotamogetonFriesii,Potamogeton friesii,Potamogeton friesii,Potamogeton.friesii,Species,8,5,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PotamogetonGramineus,Potamogeton gramineus,Potamogeton gramineus,Potamogeton.gramineus,Species,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PotamogetonNatans,Potamogeton natans,Potamogeton natans,Potamogeton.natans,Species,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PotamogetonPusillus,Potamogeton pusillus,Potamogeton pusillus,Potamogeton.pusillus,Species,13,7,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PotamogetonRichardsonii,Potamogeton richardsonii,Potamogeton richardsonii,Potamogeton.richardsonii,Species,13,7,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PotamogetonZosteriformis,Potamogeton zosteriformis,Potamogeton zosteriformis,Potamogeton.zosteriformis,Species,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,Native
